Block;Block.ProcessInlinesBegin;Block.ProcessInlinesEnd;Block.Span;Block._trivia;Block.Trivia;Block.Parent;Block.Parser;Block.IsLeafBlock;Block.IsParagraphBlock;Block.IsOpen;Block.IsBreakable;Block.NewLine;Block.RemoveAfterProcessInlines;Block.TriviaBefore;Block.TriviaAfter;Block.LinesBefore;Block.LinesAfter;Block.IsContainerInline;Block.IsContainerBlock;Block.IsContainer;Block.IsInline;Block.IsClosedInternal;Block.InternalSpareBit;Block.Column;Block.Line
Markdig.Syntax.HeadingBlock;"";Markdig.Parsers.ProcessInlineDelegate;0-27;"";Markdig.Syntax.Block+BlockTriviaProperties;"[Markdig.Syntax.HeadingBlock, Markdig.Syntax.HeadingBlock, Markdig.Syntax.ParagraphBlock, Markdig.Syntax.HeadingBlock...]";Markdig.Parsers.HeadingBlockParser;True;False;False;True;LineFeed;False;"";"";"";"";False;False;False;False;False;False;0;0
Markdig.Syntax.HeadingBlock;"";Markdig.Parsers.ProcessInlineDelegate;30-40;"";Markdig.Syntax.Block+BlockTriviaProperties;"[Markdig.Syntax.HeadingBlock, Markdig.Syntax.HeadingBlock, Markdig.Syntax.ParagraphBlock, Markdig.Syntax.HeadingBlock...]";Markdig.Parsers.HeadingBlockParser;True;False;False;True;LineFeed;False;"";"";"";"";False;False;False;False;False;False;0;2
Markdig.Syntax.ParagraphBlock;"";"";42-258;"";Markdig.Syntax.Block+BlockTriviaProperties;"[Markdig.Syntax.HeadingBlock, Markdig.Syntax.HeadingBlock, Markdig.Syntax.ParagraphBlock, Markdig.Syntax.HeadingBlock...]";Markdig.Parsers.ParagraphBlockParser;True;True;False;True;LineFeed;False;"";"";"";"";False;False;False;False;False;False;0;3
Markdig.Syntax.HeadingBlock;"";Markdig.Parsers.ProcessInlineDelegate;261-278;"";Markdig.Syntax.Block+BlockTriviaProperties;"[Markdig.Syntax.HeadingBlock, Markdig.Syntax.HeadingBlock, Markdig.Syntax.ParagraphBlock, Markdig.Syntax.HeadingBlock...]";Markdig.Parsers.HeadingBlockParser;True;False;False;True;LineFeed;False;"";"";"";"";False;False;False;False;False;False;0;5
Markdig.Syntax.HeadingBlock;"";Markdig.Parsers.ProcessInlineDelegate;281-316;"";Markdig.Syntax.Block+BlockTriviaProperties;"[Markdig.Syntax.HeadingBlock, Markdig.Syntax.HeadingBlock, Markdig.Syntax.ParagraphBlock, Markdig.Syntax.HeadingBlock...]";Markdig.Parsers.HeadingBlockParser;True;False;False;True;LineFeed;False;"";"";"";"";False;False;False;False;False;False;0;7
"[Markdig.Syntax.ListItemBlock, Markdig.Syntax.ListItemBlock, Markdig.Syntax.ListItemBlock, Markdig.Syntax.ListItemBlock]";"";"";318-577;"";Markdig.Syntax.Block+BlockTriviaProperties;"[Markdig.Syntax.HeadingBlock, Markdig.Syntax.HeadingBlock, Markdig.Syntax.ParagraphBlock, Markdig.Syntax.HeadingBlock...]";Markdig.Parsers.ListBlockParser;False;False;False;True;None;False;"";"";"";"";False;True;True;False;False;False;0;8
Markdig.Syntax.HeadingBlock;"";Markdig.Parsers.ProcessInlineDelegate;579-614;"";Markdig.Syntax.Block+BlockTriviaProperties;"[Markdig.Syntax.HeadingBlock, Markdig.Syntax.HeadingBlock, Markdig.Syntax.ParagraphBlock, Markdig.Syntax.HeadingBlock...]";Markdig.Parsers.HeadingBlockParser;True;False;False;True;LineFeed;False;"";"";"";"";False;False;False;False;False;False;0;13
"[Markdig.Syntax.ListItemBlock, Markdig.Syntax.ListItemBlock, Markdig.Syntax.ListItemBlock, Markdig.Syntax.ListItemBlock]";"";"";616-838;"";Markdig.Syntax.Block+BlockTriviaProperties;"[Markdig.Syntax.HeadingBlock, Markdig.Syntax.HeadingBlock, Markdig.Syntax.ParagraphBlock, Markdig.Syntax.HeadingBlock...]";Markdig.Parsers.ListBlockParser;False;False;False;True;None;False;"";"";"";"";False;True;True;False;False;False;0;14
Markdig.Syntax.HeadingBlock;"";Markdig.Parsers.ProcessInlineDelegate;840-867;"";Markdig.Syntax.Block+BlockTriviaProperties;"[Markdig.Syntax.HeadingBlock, Markdig.Syntax.HeadingBlock, Markdig.Syntax.ParagraphBlock, Markdig.Syntax.HeadingBlock...]";Markdig.Parsers.HeadingBlockParser;True;False;False;True;LineFeed;False;"";"";"";"";False;False;False;False;False;False;0;19
"[Markdig.Syntax.ListItemBlock, Markdig.Syntax.ListItemBlock, Markdig.Syntax.ListItemBlock]";"";"";869-1071;"";Markdig.Syntax.Block+BlockTriviaProperties;"[Markdig.Syntax.HeadingBlock, Markdig.Syntax.HeadingBlock, Markdig.Syntax.ParagraphBlock, Markdig.Syntax.HeadingBlock...]";Markdig.Parsers.ListBlockParser;False;False;False;True;None;False;"";"";"";"";False;True;True;False;False;False;0;20
Markdig.Syntax.HeadingBlock;"";Markdig.Parsers.ProcessInlineDelegate;1073-1102;"";Markdig.Syntax.Block+BlockTriviaProperties;"[Markdig.Syntax.HeadingBlock, Markdig.Syntax.HeadingBlock, Markdig.Syntax.ParagraphBlock, Markdig.Syntax.HeadingBlock...]";Markdig.Parsers.HeadingBlockParser;True;False;False;True;LineFeed;False;"";"";"";"";False;False;False;False;False;False;0;24
"[Markdig.Syntax.ListItemBlock, Markdig.Syntax.ListItemBlock, Markdig.Syntax.ListItemBlock]";"";"";1104-1260;"";Markdig.Syntax.Block+BlockTriviaProperties;"[Markdig.Syntax.HeadingBlock, Markdig.Syntax.HeadingBlock, Markdig.Syntax.ParagraphBlock, Markdig.Syntax.HeadingBlock...]";Markdig.Parsers.ListBlockParser;False;False;False;True;None;False;"";"";"";"";False;True;True;False;False;False;0;25
[Markdig.Extensions.AutoIdentifiers.HeadingLinkReferenceDefinition...];"";"";0--1;"";Markdig.Syntax.Block+BlockTriviaProperties;"[Markdig.Syntax.HeadingBlock, Markdig.Syntax.HeadingBlock, Markdig.Syntax.ParagraphBlock, Markdig.Syntax.HeadingBlock...]";"";False;False;True;True;None;False;"";"";"";"";False;True;True;False;False;False;0;0
